epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1153,1.79651,4.78103,1.75741,0.37421,0.13522,0.10286,0.04729,2.13711,4.10914,1.82432,0.00331579,0.00331579,0.00331579
2,35.4675,1.83759,4.1055,1.74204,0.14198,0.11016,0.06233,0.01765,2.61365,4.75695,2.50884,0.00664254,0.00664254,0.00664254
3,51.5099,1.95826,3.88034,1.8615,0.07865,0.13354,0.05267,0.0196,2.52585,4.0073,2.304,0.00996269,0.00996269,0.00996269
4,67.8411,2.13249,3.57495,2.04065,0.17144,0.09849,0.09565,0.03596,2.60148,7.47425,2.349,0.0099703,0.0099703,0.0099703
5,83.8707,2.07569,3.20087,2.03705,0.22313,0.13738,0.1129,0.05038,2.30226,3.32936,2.09478,0.0099604,0.0099604,0.0099604
6,99.9214,2.02588,2.96814,1.98362,0.28058,0.23304,0.18254,0.07457,2.33415,4.09588,2.13407,0.0099505,0.0099505,0.0099505
7,116.317,2.029,2.9184,1.98413,0.41287,0.14469,0.1693,0.07766,2.32179,2.82291,2.10607,0.0099406,0.0099406,0.0099406
8,132.317,1.95742,2.82365,1.92901,0.31761,0.32794,0.27849,0.12326,2.06549,2.44968,1.87561,0.0099307,0.0099307,0.0099307
9,148.121,1.92083,2.70145,1.90332,0.46329,0.27995,0.25795,0.12759,2.09666,2.45284,1.84159,0.0099208,0.0099208,0.0099208
10,163.995,1.89123,2.63542,1.88895,0.43855,0.19964,0.24544,0.10865,2.05463,2.39454,1.87903,0.0099109,0.0099109,0.0099109
11,179.954,1.8655,2.54193,1.86296,0.291,0.30417,0.23269,0.09131,2.17264,2.77971,1.91667,0.009901,0.009901,0.009901
12,196.038,1.83697,2.50257,1.83799,0.32734,0.32097,0.26783,0.12004,2.16131,2.59138,1.93576,0.0098911,0.0098911,0.0098911
13,211.716,1.83857,2.44428,1.84476,0.43987,0.29505,0.30351,0.13042,2.1121,2.20746,1.84248,0.0098812,0.0098812,0.0098812
14,229.327,1.79438,2.36397,1.80474,0.49903,0.32987,0.34715,0.16613,1.99549,2.15459,1.76366,0.0098713,0.0098713,0.0098713
15,246.48,1.79865,2.34861,1.81044,0.42945,0.36006,0.35547,0.16569,2.01167,2.10929,1.7708,0.0098614,0.0098614,0.0098614
16,264.236,1.78471,2.29752,1.77147,0.35449,0.3687,0.32028,0.17503,1.9677,2.27236,1.76023,0.0098515,0.0098515,0.0098515
17,283.76,1.77281,2.29366,1.78236,0.43268,0.38913,0.32293,0.13599,2.08179,2.32566,1.86694,0.0098416,0.0098416,0.0098416
18,304.009,1.76888,2.27957,1.78184,0.5192,0.35839,0.37048,0.18431,1.94414,2.09229,1.78918,0.0098317,0.0098317,0.0098317
19,323.626,1.74286,2.19502,1.77147,0.58447,0.36917,0.38986,0.18699,1.91056,2.03895,1.67755,0.0098218,0.0098218,0.0098218
20,343.572,1.72614,2.15871,1.73307,0.56466,0.3841,0.40349,0.18646,1.85081,2.05405,1.63794,0.0098119,0.0098119,0.0098119
21,363.418,1.7192,2.15183,1.7452,0.47054,0.42407,0.40322,0.20413,1.84153,1.9577,1.68471,0.009802,0.009802,0.009802
22,382.746,1.69035,2.14353,1.71803,0.40998,0.4207,0.39881,0.19439,1.85239,2.05223,1.66585,0.0097921,0.0097921,0.0097921
23,402.797,1.6909,2.16712,1.70608,0.34897,0.38515,0.36759,0.19582,1.8133,1.93215,1.63833,0.0097822,0.0097822,0.0097822
24,422.633,1.68826,2.05838,1.71136,0.501,0.45496,0.43749,0.21346,1.79706,1.88374,1.59735,0.0097723,0.0097723,0.0097723
25,442.654,1.6802,2.09023,1.7049,0.48918,0.36374,0.32235,0.15802,1.9908,2.60208,1.77399,0.0097624,0.0097624,0.0097624
26,462.363,1.65835,2.02861,1.68966,0.41579,0.4293,0.38359,0.19439,1.74797,2.0931,1.55558,0.0097525,0.0097525,0.0097525
27,481.744,1.6815,2.05218,1.68606,0.44014,0.45695,0.38073,0.17662,1.83367,1.92456,1.61556,0.0097426,0.0097426,0.0097426
28,500.862,1.63864,1.96747,1.67104,0.50219,0.43316,0.43974,0.22137,1.7997,1.91444,1.60143,0.0097327,0.0097327,0.0097327
